feature,prop_out_ri_over_subgroup#Cont,prop_out_ri_over_subgroup#AD,prop_out_ri_over_subgroup#Dep,prop_out_ri_over_subgroup#AD+Dep
Pic#1st_pronouns_ratio,0.435,0.522,0.571,0.444
Pic#variability_coher_sentence,0.186,0.378,0.667,0.412
Pic#honore_statistic,0.13,0.348,0.429,0.222
Pic#variability_coher_14tokens,0.196,0.295,0.429,0.529
Pic#MeanUnvoicedSegmentLength,0.065,0.283,0.143,0.278
Pic#idea_density,0.043,0.261,0.286,0.278
Pic#brunet_index,0.043,0.239,0.0,0.167
Pic#type_token_ratio,0.022,0.196,0.143,0.056
Pic#localabsoluteJitter,0.043,0.196,0.143,0.056
Pic#ref_chain_ratio,0.043,0.174,0.143,0.056
Pic#repeat_ratio,0.022,0.174,0.0,0.222
Pic#mean_speech_dur,0.087,0.174,0.0,0.167
Pic#StddevUnvoicedSegmentLength,0.043,0.174,0.143,0.167
Pic#loudnessPeaksPerSec,0.0,0.152,0.0,0.111
Pic#ddpJitter,0.022,0.152,0.143,0.111
Pic#ppq5Jitter,0.022,0.152,0.143,0.167
Pic#rapJitter,0.022,0.152,0.143,0.111
Pic#VoicedSegmentsPerSec,0.043,0.13,0.143,0.222
Pic#localJitter,0.022,0.13,0.143,0.111
Pic#f3_median,0.043,0.13,0.0,0.0
Pic#F1bandwidth_sma3nz_amean,0.0,0.109,0.0,0.0
Pic#mean_pause_dur,0.0,0.109,0.0,0.056
Pic#F1bandwidth_sma3nz_stddevNorm,0.087,0.109,0.0,0.056
Pic#mean_coher_sentence,0.023,0.089,0.0,0.235
Pic#hnr,0.022,0.087,0.0,0.111
Pic#F3frequency_sma3nz_stddevNorm,0.065,0.087,0.143,0.0
Pic#jitterLocal_sma3nz_amean,0.043,0.087,0.0,0.056
Pic#content_density,0.087,0.087,0.143,0.0
Pic#silence_rate (silencetime/dur),0.0,0.087,0.0,0.056
Pic#f3_mean,0.065,0.087,0.0,0.0
Pic#speechrate(nsyll / dur),0.043,0.087,0.0,0.056
Pic#f2_mean,0.065,0.065,0.0,0.0
Pic#f4_mean,0.043,0.065,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.13,0.065,0.0,0.0
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.043,0.065,0.0,0.056
Pic#f1_median,0.022,0.065,0.0,0.0
Pic#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.022,0.065,0.0,0.167
Pic#ASD(speakingtime / nsyll),0.022,0.065,0.143,0.111
Pic#localdbShimmer,0.022,0.065,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.043,0.065,0.143,0.0
Pic#HNRdBACF_sma3nz_amean,0.022,0.065,0.0,0.056
Pic#f4_median,0.043,0.065,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_amean,0.065,0.065,0.0,0.0
Pic#shimmerLocaldB_sma3nz_stddevNorm,0.022,0.065,0.0,0.222
Pic#localShimmer,0.022,0.065,0.0,0.0
Pic#F1frequency_sma3nz_amean,0.043,0.065,0.0,0.0
Pic#mean_coher_14tokens,0.065,0.045,0.0,0.059
Pic#aqpq5Shimmer,0.022,0.043,0.0,0.0
Pic#apq11Shimmer,0.022,0.043,0.0,0.056
Pic#f1_mean,0.043,0.043,0.0,0.0
Pic#F3bandwidth_sma3nz_stddevNorm,0.043,0.043,0.0,0.0
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.109,0.043,0.0,0.0
Pic#f2_median,0.043,0.043,0.0,0.0
Pic#meanF0,0.022,0.043,0.0,0.0
Pic#articulation rate(nsyll / phonationtime),0.043,0.043,0.0,0.0
Pic#F2frequency_sma3nz_stddevNorm,0.043,0.043,0.0,0.0
Pic#MeanVoicedSegmentLengthSec,0.043,0.043,0.0,0.0
Pic#polarity,0.043,0.022,0.0,0.111
Pic#F2bandwidth_sma3nz_amean,0.065,0.022,0.0,0.0
Pic#apq3Shimmer,0.022,0.022,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.065,0.022,0.0,0.0
Pic#F3frequency_sma3nz_amean,0.022,0.022,0.0,0.056
Pic#F2frequency_sma3nz_amean,0.065,0.022,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.0,0.022,0.0,0.0
Pic#F2bandwidth_sma3nz_stddevNorm,0.022,0.022,0.0,0.056
Pic#ddaShimmer,0.022,0.022,0.0,0.056
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.043,0.022,0.0,0.111
Pic#F3bandwidth_sma3nz_amean,0.043,0.022,0.0,0.0
Pic#StddevVoicedSegmentLengthSec,0.065,0.022,0.0,0.0
Pic#shimmerLocaldB_sma3nz_amean,0.065,0.022,0.0,0.056
Pic#jitterLocal_sma3nz_stddevNorm,0.022,0.022,0.0,0.0
Pic#mean_sil_count,0.0,0.0,0.0,0.0
Pic#silence_speech_ratio,0.0,0.0,0.0,0.0
Pic#F1frequency_sma3nz_stddevNorm,0.065,0.0,0.0,0.0
Pic#stdevF0,0.022,0.0,0.0,0.0
Pic#HNRdBACF_sma3nz_stddevNorm,0.022,0.0,0.0,0.0
