feature,prop_out_ri_over_subgroup#Cont,prop_out_ri_over_subgroup#PD
A#maxF0,0.24,0.418
A#minF0,0.1,0.373
A#stdevF0,0.22,0.358
A#ddpJitter,0.24,0.328
A#rapJitter,0.24,0.328
A#localJitter,0.28,0.313
A#meanF0,0.16,0.284
A#shimmerLocaldB_sma3nz_amean,0.053,0.187
A#jitterLocal_sma3nz_amean,0.067,0.16
A#aqpq5Shimmer,0.08,0.149
A#apq3Shimmer,0.04,0.134
A#ddaShimmer,0.04,0.134
A#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.053,0.133
A#localShimmer,0.02,0.104
A#f3_median,0.04,0.104
A#F2bandwidth_sma3nz_stddevNorm,0.04,0.093
A#localdbShimmer,0.02,0.09
A#hnr,0.04,0.09
A#f3_mean,0.02,0.09
A#F3bandwidth_sma3nz_amean,0.053,0.08
A#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.08,0.08
A#F1frequency_sma3nz_stddevNorm,0.013,0.08
A#apq11Shimmer,0.06,0.075
A#f1_mean,0.06,0.06
A#F1bandwidth_sma3nz_stddevNorm,0.067,0.053
A#F0semitoneFrom27.5Hz_sma3nz_amean,0.027,0.04
A#F3bandwidth_sma3nz_stddevNorm,0.053,0.04
A#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.027,0.04
A#F2frequency_sma3nz_stddevNorm,0.027,0.04
A#F1frequency_sma3nz_amean,0.067,0.04
A#f2_median,0.02,0.03
A#f1_median,0.08,0.03
A#F2bandwidth_sma3nz_amean,0.04,0.027
A#jitterLocal_sma3nz_stddevNorm,0.053,0.027
A#F2frequency_sma3nz_amean,0.027,0.013
A#F1bandwidth_sma3nz_amean,0.027,0.013
A#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.053,0.013
A#f4_mean,0.0,0.0
A#shimmerLocaldB_sma3nz_stddevNorm,0.04,0.0
A#f2_mean,0.04,0.0
A#F3frequency_sma3nz_stddevNorm,0.013,0.0
A#F3frequency_sma3nz_amean,0.027,0.0
A#f4_median,0.0,0.0
