feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,valid_CI_lower_limit,valid_CI_upper_limit
A#F0semitoneFrom27.5Hz_sma3nz_amean,-1.8034991916770506,2.020133489745913,"(-2.065228451409132, -1.8032210929688737)","(1.8356584129014197, 2.012216577398178)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-1.1101541160713344,2.415385262611591,"(-1.116599157375188, -1.1101273946626242)","(2.0902007217033107, 2.406740633211291)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.9080863408040936,1.9550560145469504,"(-2.542329177069514, -1.9042588324746441)","(1.7023900537752412, 1.9518067996320008)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-0.6696717524341174,2.9184260187227595,"(-0.6696717524341174, -0.6696717524341174)","(2.258761780190053, 2.9133940917167487)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-0.7229525621414945,2.818256119152802,"(-0.7852978828175139, -0.721596382823638)","(2.1589578501741324, 2.8064287850223257)",True,True
A#jitterLocal_sma3nz_amean,-0.9930383485442439,2.5319451861774374,"(-1.0301643028383627, -0.9926160835165475)","(2.230008845593667, 2.5166637837005963)",True,True
A#jitterLocal_sma3nz_stddevNorm,-1.4735561609345136,2.1497919550366014,"(-1.533227883095419, -1.4731083780333527)","(1.6633903441384374, 2.1471667783047854)",True,True
A#shimmerLocaldB_sma3nz_amean,-1.2142952561557876,2.302758047228361,"(-1.2774399995430024, -1.2137280711275398)","(2.064480946423942, 2.3002035903200477)",True,True
A#shimmerLocaldB_sma3nz_stddevNorm,-1.4178992824297179,2.4456526272135632,"(-1.4888387580287248, -1.4175779996657454)","(1.9936415489331298, 2.4396150442753672)",True,True
A#F1frequency_sma3nz_amean,-1.8506260122808516,2.0059812229016636,"(-1.9954998794003034, -1.8478223591951144)","(1.6735776666472304, 2.0042678313309326)",True,True
A#F1frequency_sma3nz_stddevNorm,-1.7516592959091988,2.0720638536951403,"(-1.8803112277172176, -1.7513445707666098)","(1.8905666086388946, 2.0703442734536397)",True,True
A#F1bandwidth_sma3nz_amean,-2.1666262500185947,1.743378275122982,"(-2.3978966915901156, -2.1645271960551855)","(1.6108271605459656, 1.7364597941275013)",True,True
A#F1bandwidth_sma3nz_stddevNorm,-1.622185450125957,2.3569664542437696,"(-1.773882426895282, -1.6215845578347579)","(1.8240645324532123, 2.351196830483639)",True,True
A#F2frequency_sma3nz_amean,-1.7587058027936784,2.1122429670593714,"(-1.9305825023725627, -1.7506846831045542)","(1.7646930418654738, 2.111331572727072)",True,True
A#F2frequency_sma3nz_stddevNorm,-1.6349345787997198,2.0487043468016037,"(-1.727866781213743, -1.6339991801293212)","(1.7711704732617426, 2.0403391693436492)",True,True
A#F2bandwidth_sma3nz_amean,-1.8817151135827466,2.1423195200027454,"(-2.259918504627073, -1.8759782075780118)","(1.8667818999581214, 2.133473617836421)",True,True
A#F2bandwidth_sma3nz_stddevNorm,-1.5664376884914288,2.2144207552084874,"(-1.7355479074715443, -1.5639914366319931)","(1.8871979048094345, 2.2081207123646345)",True,True
A#F3frequency_sma3nz_amean,-2.1871380320199707,1.7967675308536837,"(-2.58466454682254, -2.173387299289592)","(1.619494828954492, 1.796072102806188)",True,True
A#F3frequency_sma3nz_stddevNorm,-1.737540216394308,2.058324424402545,"(-1.917007660200858, -1.7354448347452995)","(1.8591079095336471, 2.0562854604638945)",True,True
A#F3bandwidth_sma3nz_amean,-1.7875897506348006,1.8706500353954727,"(-1.971929716324316, -1.7843403982959818)","(1.7129106714406792, 1.8697548224969887)",True,True
A#F3bandwidth_sma3nz_stddevNorm,-1.6786425310867192,2.400389459049352,"(-1.7292256721736128, -1.677865245990674)","(2.100014568479872, 2.39816288404669)",True,True
A#meanF0,-1.5127163610473673,2.226708873871768,"(-1.7258587294440932, -1.512319770100491)","(1.7568787629491536, 2.223946073290085)",True,True
A#stdevF0,-1.3990996159813316,2.2414267160586903,"(-1.4113521471408228, -1.3988204185074198)","(1.850932126569833, 2.216303177625257)",True,True
A#minF0,-0.8688759334950653,2.653628782099941,"(-0.90822988072886, -0.8673088619094109)","(2.28137631635515, 2.6525906135023654)",True,True
A#maxF0,-1.1346112742506054,2.4197038501691104,"(-1.187293960932784, -1.1343912169197439)","(2.207505199459468, 2.419043180590208)",True,True
A#hnr,-2.2094339726937045,1.7200643720564583,"(-2.5547338493181426, -2.209206157197681)","(1.6214818872664127, 1.7185698770399307)",True,True
A#localJitter,-0.8146639981500631,2.783414554832031,"(-0.872796878531415, -0.815211333149152)","(2.1828037140346996, 2.781508636037675)",True,True
A#rapJitter,-0.8118919822272819,2.794817795139016,"(-0.8764503418135134, -0.8114824848395604)","(2.079355491184299, 2.793610990485366)",True,True
A#ddpJitter,-0.8118919822272734,2.7948177951390183,"(-0.8764503418135136, -0.8114824848395502)","(2.0793554911842893, 2.793610990485366)",True,True
A#localShimmer,-1.3241327521738822,2.7127519723436393,"(-1.3865524270621483, -1.3220776047778853)","(2.352266951214504, 2.7060571345093396)",True,True
A#localdbShimmer,-1.4296681510803415,2.5352307373077396,"(-1.5013805678621417, -1.4286043858119686)","(2.135285457566661, 2.5339608965947615)",True,True
A#apq3Shimmer,-1.3233449763743685,2.574077590806071,"(-1.3758317218133522, -1.3220738946807287)","(2.1761082344218416, 2.568053523192297)",True,True
A#aqpq5Shimmer,-1.2217228926817019,2.716455442066153,"(-1.276218237766943, -1.2210416860867823)","(2.238049780379672, 2.7102546046436595)",True,True
A#apq11Shimmer,-1.1843324064681193,2.745900812225022,"(-1.2206236962307209, -1.183509844243301)","(2.236643457092715, 2.7409078004137397)",True,True
A#ddaShimmer,-1.3233449763743685,2.5740775908060707,"(-1.3758317218133536, -1.322073894680729)","(2.1761082344218434, 2.568053523192297)",True,True
A#f1_mean,-2.313554771043849,1.798309978550989,"(-2.5413005804730098, -2.3134371005685996)","(1.615108771069064, 1.7952991123498716)",True,True
A#f2_mean,-1.8478925991081607,1.898531334644581,"(-2.1239658923773312, -1.8451254641267048)","(1.595857946504899, 1.885815730883675)",True,True
A#f3_mean,-2.1230463508398443,1.7496182436622936,"(-2.3506537150318736, -2.1200602037894094)","(1.55301038300359, 1.7438322112119022)",True,True
A#f4_mean,-2.170537000143697,1.751393953624317,"(-2.3286548093357666, -2.167687886131275)","(1.5937994469015209, 1.7477863103432727)",True,True
A#f1_median,-2.557807245564626,1.6973189851942614,"(-2.9530643627776643, -2.552955351013059)","(1.5104539791871527, 1.697075955754903)",True,True
A#f2_median,-2.0880868943701762,1.8079227236042794,"(-2.33818216230111, -2.0863814549842306)","(1.4773376083986123, 1.8052970887674225)",True,True
A#f3_median,-2.1475647449474407,1.4874487738908568,"(-2.2529541432197417, -2.145711883584894)","(1.36781322627393, 1.4872953712705173)",True,True
A#f4_median,-1.9453915768784684,1.6484560225016167,"(-2.0995220914690105, -1.9450108285591694)","(1.532999739395984, 1.6461745067497149)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_amean,-2.1649853149391003,1.817769310168376,"(-2.355782190417974, -2.16608995083943)","(1.651318690160039, 1.817321144028709)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-1.608005341087854,2.15932595984756,"(-1.6644772254774682, -1.6078655840643457)","(1.9446538468323382, 2.1596630927351996)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-2.1475510279194303,1.629034602215521,"(-2.3581527199331664, -2.1476713944956174)","(1.5301954472102306, 1.6285356385558423)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile50.0,-2.1282320657690006,1.7834713904792525,"(-2.417489195850773, -2.1297465923775962)","(1.6806050249074282, 1.7791004244668833)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile80.0,-1.8583230516790923,1.9089776123553575,"(-1.948960517264232, -1.8588295851090946)","(1.6803680404280676, 1.9074775846192915)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-1.0155924196125936,2.6399072389895073,"(-1.066665977774626, -1.014889408780526)","(2.105365886974264, 2.6413938893028783)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,-1.4791916570369232,2.3636468960525923,"(-1.552783608856391, -1.4781938974838513)","(2.184884800245748, 2.3583790147003882)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-1.5055354630192905,2.08281129490569,"(-1.5521653041478962, -1.5032157958390409)","(1.930450242063689, 2.0786233524010167)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-1.3196646295513934,2.448215651968907,"(-1.372766013458333, -1.3197730991753047)","(2.255563709223263, 2.4513141330408303)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,-1.0216466661600996,2.823499515462409,"(-1.0585003381044993, -1.0224405168461144)","(2.312249662645631, 2.794917915556183)",True,True
RS#HNRdBACF_sma3nz_amean,-2.148947957634556,1.946840014114993,"(-2.3677638073138625, -2.1513433184694297)","(1.7603110039087961, 1.9366687090390797)",True,True
RS#HNRdBACF_sma3nz_stddevNorm,-1.1931034581172402,2.226702899468874,"(-1.2376506823525781, -1.1931611224921645)","(1.8686247304227708, 2.2296654544396506)",True,True
RS#jitterLocal_sma3nz_amean,-1.4592702523544028,2.3208192644127434,"(-1.542064122041108, -1.4561397136974712)","(2.1342794449592186, 2.326418117570926)",True,True
RS#jitterLocal_sma3nz_stddevNorm,-1.7242039543822096,2.230709312940414,"(-1.8003410786417495, -1.7232271982305591)","(2.026301989642296, 2.2239660907797933)",True,True
RS#shimmerLocaldB_sma3nz_amean,-1.7686297861591722,2.0632927032794792,"(-1.931679069315863, -1.7661459600358658)","(1.8716683576409652, 2.058127154209386)",True,True
RS#shimmerLocaldB_sma3nz_stddevNorm,-1.8769416805129981,2.1423089905571255,"(-2.047368482867706, -1.877277647604214)","(1.9775058602862887, 2.12729363250736)",True,True
RS#F1frequency_sma3nz_amean,-1.8098638613674394,2.1739013821151723,"(-1.9583447388096398, -1.8099619263083746)","(1.962000000019915, 2.1709717933715442)",True,True
RS#F1frequency_sma3nz_stddevNorm,-1.924512240124124,1.918134067188984,"(-2.0571781181898214, -1.922310387427303)","(1.8014983358593115, 1.9114579544198431)",True,True
RS#F1bandwidth_sma3nz_amean,-2.061370592047535,1.6070958936272408,"(-2.545860020166195, -2.0606612576453314)","(1.4731196712454213, 1.6090828263985946)",True,True
RS#F1bandwidth_sma3nz_stddevNorm,-1.643021602155865,2.2620626817317757,"(-1.724720524548842, -1.6434995825465941)","(2.0338620734729282, 2.260254750287048)",True,True
RS#F2frequency_sma3nz_amean,-1.7584587097104294,2.0239156410333927,"(-1.8598491116093174, -1.752898343018242)","(1.8930999729174536, 2.024059250041949)",True,True
RS#F2frequency_sma3nz_stddevNorm,-1.9515491947158072,1.9686754836938518,"(-2.1241584995162914, -1.951415365727891)","(1.804718542008429, 1.9692951098616316)",True,True
RS#F2bandwidth_sma3nz_amean,-1.9822208577815228,1.9626789876176516,"(-2.153407015649427, -1.982763089974059)","(1.8182632325355772, 1.9594502733855785)",True,True
RS#F2bandwidth_sma3nz_stddevNorm,-1.9001186776373213,2.0727291393043497,"(-2.065687924624306, -1.8997989483002546)","(1.9024284901406319, 2.072544684123911)",True,True
RS#F3frequency_sma3nz_amean,-1.8429378142690527,2.0865705371583783,"(-1.9535662366342816, -1.8422786533839772)","(1.9400059390037616, 2.0844605773528078)",True,True
RS#F3frequency_sma3nz_stddevNorm,-1.9606202991141428,1.8992555440520575,"(-2.1469273337309147, -1.9620565106795884)","(1.7703517190040514, 1.8974166149836798)",True,True
RS#F3bandwidth_sma3nz_amean,-1.9452290093995042,2.004683398620834,"(-2.0885301599121076, -1.9470694046679136)","(1.8409126220201666, 2.003603777455565)",True,True
RS#F3bandwidth_sma3nz_stddevNorm,-1.8817039447998363,2.0013449713974207,"(-1.9595559768118598, -1.881585410765685)","(1.8929422225257062, 1.997631811997639)",True,True
RS#loudnessPeaksPerSec,-1.9726984539636694,1.994010862354538,"(-2.1492581396487607, -1.970998519227197)","(1.8038757321429888, 1.9805727968160922)",True,True
RS#VoicedSegmentsPerSec,-1.8706516132790658,1.9837849199745976,"(-2.054521461943226, -1.8708896972095086)","(1.8308104335132322, 1.9807545864589398)",True,True
RS#MeanVoicedSegmentLengthSec,-1.5756471586683227,2.3020218532128407,"(-1.7088002283675567, -1.5759561011011836)","(2.0520940662601395, 2.304358512294155)",True,True
RS#StddevVoicedSegmentLengthSec,-1.4357662577998291,2.5245375018236613,"(-1.5278101147991785, -1.4354572369733458)","(2.285000018676163, 2.5244593997803144)",True,True
RS#MeanUnvoicedSegmentLength,-1.447119911374073,2.2352503814833966,"(-1.513024016017301, -1.4463312097856909)","(1.9815468343477778, 2.228452457399478)",True,True
RS#StddevUnvoicedSegmentLength,-1.4445686716844206,2.490156428020623,"(-1.4997447600090956, -1.443079798403192)","(2.1084519821905885, 2.4897596438416403)",True,True
RS#meanF0,-1.8023540305886343,2.02711860296353,"(-2.0758121010327133, -1.8052554947382118)","(1.8555379475224048, 2.0151529842219533)",True,True
RS#stdevF0,-1.6523193870550437,2.271387750637744,"(-1.779479284519299, -1.6529931707263745)","(2.0271332715733172, 2.269630121445404)",True,True
RS#hnr,-1.930190677719799,2.090457072801148,"(-2.148104525809013, -1.932008769835085)","(1.9094824274620508, 2.0879131048475505)",True,True
RS#localJitter,-1.742571123335603,2.2163728213102747,"(-1.8978929532289415, -1.7437823185339367)","(1.9465685731453404, 2.208172302705467)",True,True
RS#localabsoluteJitter,-1.499303186866617,2.453415801897308,"(-1.6036895868182681, -1.4992522322212387)","(1.9801885683368698, 2.455534967556816)",True,True
RS#rapJitter,-1.6878210306109966,2.244491712681373,"(-1.8737456185654886, -1.6888786626922039)","(1.9927774590477854, 2.2442579099275046)",True,True
RS#ppq5Jitter,-1.6592839115024511,2.21588579477407,"(-1.835718453908241, -1.6593523972682087)","(2.0069562689211145, 2.215463601238656)",True,True
RS#ddpJitter,-1.6878210306109904,2.244491712681374,"(-1.8737456185655024, -1.6888786626921901)","(1.992777459047784, 2.2442579099275055)",True,True
RS#localShimmer,-1.6384362089599398,2.4365811138507927,"(-1.7257985947106715, -1.6377460882791877)","(2.19924322258232, 2.436794538330582)",True,True
RS#localdbShimmer,-1.7958554070709893,2.225056772348157,"(-1.861557155410451, -1.795761205410941)","(2.0229876912473537, 2.224381623540987)",True,True
RS#apq3Shimmer,-1.5275858607073522,2.4926696610076666,"(-1.6412176707345654, -1.525386489806905)","(2.0676928931459693, 2.4900718266544573)",True,True
RS#aqpq5Shimmer,-1.5408722218459248,2.383262360980661,"(-1.6306127746155201, -1.5406722934925277)","(2.1373500041941758, 2.3784682248857503)",True,True
RS#apq11Shimmer,-1.573092909027888,2.334941427959114,"(-1.644236688795718, -1.5752409069859508)","(2.022979909154845, 2.3285618885749884)",True,True
RS#ddaShimmer,-1.527585860707351,2.492669661007667,"(-1.6412176707345671, -1.5253864898069014)","(2.067692893145971, 2.4900718266544573)",True,True
RS#f1_mean,-1.9608557927441652,2.0711598180366493,"(-2.0630394566987333, -1.9598117508189008)","(1.8694967050699307, 2.068229760662887)",True,True
RS#f2_mean,-2.4855158444491927,1.5569078165741792,"(-2.8670541867839314, -2.4834621390893266)","(1.43808703568891, 1.5570677626635172)",True,True
RS#f3_mean,-2.2373518863447055,1.7851774412544765,"(-2.4912163771743043, -2.232970383438114)","(1.6749160112838533, 1.788313193654104)",True,True
RS#f4_mean,-2.1615334811532354,1.7575455834414393,"(-2.2725988997170647, -2.1632420505678702)","(1.669736571609772, 1.759024944250739)",True,True
RS#f1_median,-1.903269958985452,2.1758488012551864,"(-2.1598658925979186, -1.906492868251431)","(1.9092021047846905, 2.170148722568116)",True,True
RS#f2_median,-2.5823742598624486,1.5311945936962317,"(-2.876984489488895, -2.5852276358383413)","(1.3979092819922754, 1.5312184307410275)",True,True
RS#f3_median,-2.3435602711773935,1.6612471480950741,"(-2.534360062412584, -2.3315453014216816)","(1.5518431506991452, 1.6564767361451018)",True,True
RS#f4_median,-2.1519279010871553,1.655379151885122,"(-2.340423379979726, -2.153547012728523)","(1.583936122529551, 1.6567994702754318)",True,True
RS#speechrate(nsyll / dur),-2.0531936224794833,1.9132339179734894,"(-2.2151728682093594, -2.0527974044725417)","(1.8174781267112807, 1.912913681163027)",True,True
RS#articulation rate(nsyll / phonationtime),-2.0210288885227046,2.0003029504739724,"(-2.1927002641382964, -2.019736810257153)","(1.8529143104180619, 2.0006180664879913)",True,True
RS#ASD(speakingtime / nsyll),-1.7294876974376754,2.2972525904003844,"(-1.8600337214024356, -1.7299922207193055)","(2.01441862563024, 2.2971731520067413)",True,True
RS#mean_pause_dur,-1.6541158314186388,2.2508000485882205,"(-1.7394283063846199, -1.6541158314186388)","(2.0036435312106775, 2.2473828532008793)",True,True
RS#mean_speech_dur,-0.8599904526367906,1.5365839158822567,"(-0.9974565352391657, -0.8600177689390381)","(1.3195114586526184, 1.5338388344248446)",True,True
RS#silence_rate (silencetime/dur),-1.7017140490900993,2.231807220881498,"(-1.8396384778614943, -1.702424503136533)","(2.0065186843002034, 2.234640360445094)",True,True
RS#silence_speech_ratio,-2.8841669496702584,0.992354261603973,"(-2.8841669496702584, -2.8841669496702584)","(0.9507280431211343, 0.9911322689708303)",True,True
RS#mean_sil_count,-1.9528474954149542,2.0870446778952156,"(-2.100080919555265, -1.9566698423802968)","(1.8791958478947028, 2.088454762426156)",True,True
IS#F0semitoneFrom27.5Hz_sma3nz_amean,-1.8360114604992068,1.9590414975439485,"(-2.1143667628977214, -1.8332330056935051)","(1.7747642790930038, 1.954850875773038)",True,True
