feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,valid_CI_lower_limit,valid_CI_upper_limit
A#F0semitoneFrom27.5Hz_sma3nz_amean,-1.3121424849718863,2.701635766678716,"(-1.4222171200276108, -1.31233093615582)","(2.107387539612531, 2.6791405739685152)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-1.1924592546821942,2.089622368616758,"(-1.1998522586147933, -1.1922174114652244)","(1.9322015943252147, 2.0781096455829564)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.3689041612637625,2.3279703689322586,"(-1.5507861587809466, -1.3692942545802949)","(1.9208535161839877, 2.3072425228853626)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-0.6909471614159575,3.1400915987446263,"(-0.6909471614159575, -0.6909471614159575)","(2.639834552651645, 3.1399560331713903)",True,True
A#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-0.9257563469603953,2.394886795591328,"(-0.9691276964676585, -0.9256499994543554)","(1.9493419482577976, 2.339595141177617)",True,True
A#jitterLocal_sma3nz_amean,-0.9537213247939917,2.551919964688098,"(-0.968404167584818, -0.9535207237979817)","(2.2122443041562074, 2.5477206188572405)",True,True
A#jitterLocal_sma3nz_stddevNorm,-1.3858542489596894,2.325640736440971,"(-1.4294438390842314, -1.3859329716425062)","(1.831818381811397, 2.3143257117794738)",True,True
A#shimmerLocaldB_sma3nz_amean,-1.1260373231550493,2.465071528397954,"(-1.2126502534968644, -1.125920162507323)","(2.021110671971894, 2.4500567242884133)",True,True
A#shimmerLocaldB_sma3nz_stddevNorm,-1.3657563423065409,2.374664596419752,"(-1.5762984389445058, -1.3436391075053178)","(1.9424286191837956, 2.346526095287015)",True,True
A#F1frequency_sma3nz_amean,-1.337933527308333,2.3331444218691813,"(-1.3901846341255728, -1.334452800877146)","(2.085786897616245, 2.3282115473759517)",True,True
A#F1frequency_sma3nz_stddevNorm,-2.1436705383541255,1.7611045197967452,"(-2.3780649057781384, -2.142502433175473)","(1.5316088961484582, 1.7415122902386246)",True,True
A#F1bandwidth_sma3nz_amean,-2.3149150439033095,1.6548826424202607,"(-2.7186384227130205, -2.2942939277931735)","(1.568968928249356, 1.652698857414099)",True,True
A#F1bandwidth_sma3nz_stddevNorm,-1.3697251432812743,2.288172458216344,"(-1.4893025800348028, -1.3633954080256727)","(2.0218654888406613, 2.246128577295151)",True,True
A#F2frequency_sma3nz_amean,-1.4468053653005877,2.125000506954129,"(-1.520164385029245, -1.4448750362466225)","(1.99012271768842, 2.1202464087511106)",True,True
A#F2frequency_sma3nz_stddevNorm,-2.1749631773206013,1.589451365865559,"(-2.331815851918748, -2.174958775483067)","(1.4532925362140452, 1.5854503030807643)",True,True
A#F2bandwidth_sma3nz_amean,-2.3235717005953567,1.7977780931166085,"(-2.579809026529554, -2.3241625203696032)","(1.5962017653270775, 1.7896296618632819)",True,True
A#F2bandwidth_sma3nz_stddevNorm,-1.5141981785283483,2.373710742375621,"(-1.6293365038182532, -1.5116503071565797)","(2.0969965730250224, 2.3687761987913194)",True,True
A#F3frequency_sma3nz_amean,-1.6949282161561474,1.9402659075053605,"(-1.8416143630190178, -1.6989824079071616)","(1.673380868514094, 1.921569457992645)",True,True
A#F3frequency_sma3nz_stddevNorm,-2.0394183105024393,1.945888274409214,"(-2.1633127757228174, -2.033013725885618)","(1.751362632842911, 1.9411591552093768)",True,True
A#F3bandwidth_sma3nz_amean,-1.9263184367921913,2.04509429115841,"(-2.140084652201788, -1.9253371583099204)","(1.7652897478256189, 2.044419567381576)",True,True
A#F3bandwidth_sma3nz_stddevNorm,-1.729222658182766,2.2137743379486183,"(-1.8426561284677845, -1.7190796729272824)","(1.8956144916063213, 2.202601560192399)",True,True
A#meanF0,-0.9461906952101837,1.9934559916735979,"(-1.0061672668414254, -0.9458612580048965)","(1.5987562508264654, 1.9924081431386744)",True,True
A#stdevF0,-0.6347955925524628,3.060170021681548,"(-0.6375601352395661, -0.6347658800513792)","(2.3986224907062423, 3.0212925372182013)",True,True
A#minF0,-1.3407498264518796,1.8961591460045697,"(-1.3902604293505743, -1.3373528171706377)","(1.5994093221743975, 1.8936471991008614)",True,True
A#maxF0,-0.9639213355675432,1.7959681255733677,"(-0.9800171649294743, -0.9639287963029973)","(1.785564182470451, 1.7944638091277423)",True,True
A#hnr,-2.194872268987655,1.8698286495802323,"(-2.534347562446649, -2.183659585437573)","(1.6232402412097016, 1.8754014481175583)",True,True
A#localJitter,-0.681669233698713,2.595802224612535,"(-0.7005225065285071, -0.6819158497692612)","(1.9631393313843675, 2.547867675715704)",True,True
A#rapJitter,-0.6610182569914188,2.392024675523555,"(-0.6800998143606042, -0.6605679823062441)","(1.895897514640406, 2.3662215853203485)",True,True
A#ddpJitter,-0.6610182569914165,2.392024675523556,"(-0.6800998143605986, -0.6605679823062431)","(1.8958975146404113, 2.3662215853203445)",True,True
A#localShimmer,-1.2996374121302783,2.5383457416758626,"(-1.3594620474910954, -1.2995866287076663)","(2.0896459554579443, 2.504463103467417)",True,True
A#localdbShimmer,-1.3821723605939225,2.4562407519444367,"(-1.4888871591685604, -1.3820642057512906)","(1.9487855522909747, 2.4491139581386205)",True,True
A#apq3Shimmer,-1.2739584086936235,2.4781352957364713,"(-1.3097151182306581, -1.2782956611227436)","(2.142883180634259, 2.4712100220872673)",True,True
A#aqpq5Shimmer,-1.1548471912452216,2.2737569167087837,"(-1.2203966959755044, -1.1541040048211937)","(1.9504445031518756, 2.2602219114089346)",True,True
A#apq11Shimmer,-1.1127126220109307,2.2920850763832448,"(-1.1924081975858052, -1.112694954943782)","(1.7208221746292875, 2.287003359290488)",True,True
A#ddaShimmer,-1.273958408693622,2.4781352957364695,"(-1.3097151182306563, -1.278295661122742)","(2.142883180634258, 2.471210022087266)",True,True
A#f1_mean,-2.3200159988407574,1.9097418746726742,"(-2.520023672536708, -2.3256858234629796)","(1.6278214431269995, 1.9081877543546446)",True,True
A#f2_mean,-1.588005672017402,2.4942629553664535,"(-1.6928406811214236, -1.5869487456400329)","(1.7684323571909153, 2.3392556531208455)",True,True
A#f3_mean,-2.288707218225431,1.749004392623203,"(-2.5995546682396866, -2.2203576499469446)","(1.484219695380676, 1.734680344888382)",True,True
A#f4_mean,-2.1771169664961265,2.0782859357008,"(-2.409962409108338, -2.1569952572069515)","(1.7747188386055281, 2.077072036871468)",True,True
A#f1_median,-2.3549710870871663,1.7984271364413025,"(-2.7701075932840347, -2.35722435089682)","(1.6320691302966917, 1.7948425100762115)",True,True
A#f2_median,-1.6475572171360522,2.427010343567221,"(-1.8024745491934306, -1.6485828260640083)","(1.7684610576107218, 2.295229786805599)",True,True
A#f3_median,-2.233128946573886,1.6618652241645555,"(-2.9146949841268666, -2.233128946573886)","(1.4093932672384573, 1.659713453539941)",True,True
A#f4_median,-2.1323343329667455,2.084390896878983,"(-2.3637034008432694, -2.1284676183111455)","(1.7199732667174694, 2.07362963910283)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_amean,-1.7591880565009324,2.15562941591702,"(-1.8750000417927886, -1.7583630742553948)","(2.020666466636636, 2.1495507771295337)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-1.8426272396198313,1.9060007349467942,"(-1.9840475765601078, -1.841393053133564)","(1.815642532074162, 1.9020431055447033)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.7494532714409876,2.134796614318175,"(-1.8299004562347472, -1.7491525924705922)","(1.8786236859414855, 2.1290576211005345)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile50.0,-1.7422719054684834,2.1688958679889723,"(-1.8479913342492862, -1.7423147410704338)","(1.9742716505666007, 2.1680873853833362)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_percentile80.0,-1.2940205113179046,3.1216028915550544,"(-1.346879977864985, -1.2928647852466353)","(2.846834437896507, 3.1115955632471435)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-1.0140128455094914,3.243375696752949,"(-1.102953396701893, -1.0136593334652004)","(2.9671976078332682, 3.2373277868530175)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,-1.559271147110939,2.1793553743858003,"(-1.6108005408147457, -1.558992802391703)","(1.9409336319358825, 2.1807055843850494)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,-1.6938912787247102,1.799339051062907,"(-1.7534297519343447, -1.6935044784281559)","(1.7259739259653757, 1.7978490189337795)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,-1.3494818362176435,2.4740183567936977,"(-1.422424669112248, -1.3462821333115873)","(2.1701987306064665, 2.4578011710370338)",True,True
RS#F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,-1.032950568127214,2.7951814000309416,"(-1.056976640755323, -1.0323264464108115)","(2.557410460093754, 2.7749349184902554)",True,True
